# submitted_item	validated_id	current_symbol
CG8519	FBgn0035711	CG8519
CG8522	FBgn0261283	SREBP
CG8380	FBgn0034136	DAT
CG32742	FBgn0028360	Cdc7
CG8546	FBgn0035785	ppk26
CG8641	FBgn0035733	CG8641
CG8642	FBgn0033312	CG8642
CG8536	FBgn0027538	beta4GalNAcTA
CG8542	FBgn0001220	Hsc70-5
CG8809	FBgn0287478	Camta
CG31628	FBgn0000053	Gart
CG8781	FBgn0033378	tsu
CG32133	FBgn0052133	Ptip
CG8798	FBgn0036892	Lon
CG8768	FBgn0033769	CG8768
CG8784	FBgn0038140	PK2-R1
CG8785	FBgn0033760	CG8785
CG8801	FBgn0028473	Non1
CG31956	FBgn0051956	Pgant4
CG8786	FBgn0036897	Rnf146
CG8708	FBgn0033271	CG8708
CG8974	FBgn0030693	sordd1
CG8916	FBgn0030707	CG8916
CG8975	FBgn0011704	RnrS
CG8963	FBgn0034181	CG8963
CG8977	FBgn0015019	CCT3
CG9154	FBgn0031777	CG9154
CG9038	FBgn0026076	UBL3
CG9096	FBgn0010315	CycD
CG9019	FBgn0015381	dsf
CG9191	FBgn0004378	Klp61F
CG9193	FBgn0005655	PCNA
CG9149	FBgn0035203	Acat2
CG9170	FBgn0030716	CG9170
CG9244	FBgn0010100	mAcon1
CG9304	FBgn0034674	CG9304
CG3722	FBgn0003391	shg
CG11579	FBgn0000117	arm
CG17947	FBgn0010215	alpha-Cat
CG9345	FBgn0038173	Adgf-C
CG9246	FBgn0032925	CG9246
CG9287	FBgn0032057	CG9287
CG9306	FBgn0032511	ND-B22
CG9210	FBgn0022710	Ac13E
CG9294	FBgn0034666	CG9294
CG9311	FBgn0036448	mop
CG9331	FBgn0032889	CG9331
CG9277	FBgn0284243	betaTub56D
CG9297	FBgn0038181	CG9297
CG9334	FBgn0028986	Spn38F
CG9261	FBgn0015777	nrv2
CG9281	FBgn0030672	CG9281
CG9298	FBgn0260861	Trs23
CG9337	FBgn0032898	CR9337
CG9399	FBgn0037715	CG9399
CG9430	FBgn0033097	Zip42C.2
CG9400	FBgn0030562	CG9400
CG9401	FBgn0002736	mago
CG9432	FBgn0010482	hlk
CG9471	FBgn0037749	CG9471
CG9416	FBgn0034438	CG9416
CG9423	FBgn0027338	Kap-alpha3
CG33104	FBgn0069242	eca
CG9393	FBgn0037710	CG9393
CG9425	FBgn0036451	Helz
CG9444	FBgn0037730	CG9444
CG9476	FBgn0003886	alphaTub85E
CG9556	FBgn0013746	alien
CG34325	FBgn0085354	CG34325
CG9666	FBgn0036856	Mettl5
CG9699	FBgn0259923	Septin4
CG9807	FBgn0030221	Rab9Db
CG9707	FBgn0034628	Acox57D-p
CG9817	FBgn0263072	CG43347
CG9728	FBgn0039780	PH4alphaNE1
CG9849	FBgn0034803	CG9849
CG9876	FBgn0034821	CG9876
CG9710	FBgn0021768	nudC
CG9733	FBgn0039759	CG9733
CG9712	FBgn0036666	TSG101
CG9853	FBgn0086605	CG9853
CG31013	FBgn0051013	CG31013
CG9737	FBgn0039758	CG9737
CG9781	FBgn0036228	obst-G
CG9834	FBgn0034433	EndoB
CG9862	FBgn0034646	Rae1
CG9884	FBgn0011818	oaf
CG9885	FBgn0000490	dpp
CG9984	FBgn0010416	TH1
CG9895	FBgn0261705	CG42741
CG9914	FBgn0286508	Had1
CG10042	FBgn0038016	MBD-R2
CG9901	FBgn0011742	Arp2
CG10270	FBgn0022699	D19B
CG10237	FBgn0032783	CG10237
CG10272	FBgn0264495	gpp
CG10343	FBgn0032703	CG10343
CG10274	FBgn0035690	CG10274
CG10298	FBgn0037432	CG10298
CG10369	FBgn0032706	Irk3
CG10280	FBgn0037395	CG10280
CG10307	FBgn0034655	CG10307
CG10354	FBgn0031868	Rat1
CG10371	FBgn0039111	PTPMT1
CG30152	FBgn0034543	galla-1
CG10541	FBgn0035638	Tektin-C
CG10384	FBgn0034731	CG10384
CG10477	FBgn0035661	CG10477
CG32133	FBgn0052133	Ptip
CG8798	FBgn0036892	Lon
CG8768	FBgn0033769	CG8768
CG8784	FBgn0038140	PK2-R1
CG8785	FBgn0033760	CG8785
CG8801	FBgn0028473	Non1
CG31956	FBgn0051956	Pgant4
CG8786	FBgn0036897	Rnf146
CG8708	FBgn0033271	CG8708
CG8974	FBgn0030693	sordd1
CG8916	FBgn0030707	CG8916
CG8975	FBgn0011704	RnrS
CG8963	FBgn0034181	CG8963
CG8977	FBgn0015019	CCT3
CG9154	FBgn0031777	CG9154
CG9038	FBgn0026076	UBL3
CG9096	FBgn0010315	CycD
CG9019	FBgn0015381	dsf
CG9191	FBgn0004378	Klp61F
CG9193	FBgn0005655	PCNA
CG9149	FBgn0035203	Acat2
CG9170	FBgn0030716	CG9170
CG9244	FBgn0010100	mAcon1
CG9304	FBgn0034674	CG9304
CG3722	FBgn0003391	shg
CG11579	FBgn0000117	arm
CG17947	FBgn0010215	alpha-Cat
CG9345	FBgn0038173	Adgf-C
CG9246	FBgn0032925	CG9246
CG9287	FBgn0032057	CG9287
CG9306	FBgn0032511	ND-B22
CG9210	FBgn0022710	Ac13E
CG9294	FBgn0034666	CG9294
CG9311	FBgn0036448	mop
CG9331	FBgn0032889	CG9331
CG9277	FBgn0284243	betaTub56D
CG9297	FBgn0038181	CG9297
CG9334	FBgn0028986	Spn38F
CG9261	FBgn0015777	nrv2
CG9281	FBgn0030672	CG9281
CG9298	FBgn0260861	Trs23
CG9337	FBgn0032898	CR9337
CG9399	FBgn0037715	CG9399
CG9430	FBgn0033097	Zip42C.2
CG9400	FBgn0030562	CG9400
CG9401	FBgn0002736	mago
CG9432	FBgn0010482	hlk
CG9471	FBgn0037749	CG9471
CG9416	FBgn0034438	CG9416
CG9423	FBgn0027338	Kap-alpha3
CG33104	FBgn0069242	eca
CG9393	FBgn0037710	CG9393
CG9425	FBgn0036451	Helz
CG9444	FBgn0037730	CG9444
CG9476	FBgn0003886	alphaTub85E
CG9556	FBgn0013746	alien
CG34325	FBgn0085354	CG34325
CG9666	FBgn0036856	Mettl5
CG9699	FBgn0259923	Septin4
CG9807	FBgn0030221	Rab9Db
CG9707	FBgn0034628	Acox57D-p
CG9817	FBgn0263072	CG43347
CG9728	FBgn0039780	PH4alphaNE1
CG9849	FBgn0034803	CG9849
CG9876	FBgn0034821	CG9876
CG9710	FBgn0021768	nudC
CG9733	FBgn0039759	CG9733
CG9712	FBgn0036666	TSG101
CG9853	FBgn0086605	CG9853
CG31013	FBgn0051013	CG31013
CG9737	FBgn0039758	CG9737
CG9781	FBgn0036228	obst-G
CG9834	FBgn0034433	EndoB
CG9862	FBgn0034646	Rae1
CG9884	FBgn0011818	oaf
CG9885	FBgn0000490	dpp
CG9984	FBgn0010416	TH1
CG9895	FBgn0261705	CG42741
CG9914	FBgn0286508	Had1
CG10042	FBgn0038016	MBD-R2
CG9901	FBgn0011742	Arp2
CG10270	FBgn0022699	D19B
CG10237	FBgn0032783	CG10237
CG10272	FBgn0264495	gpp
CG10343	FBgn0032703	CG10343
CG10274	FBgn0035690	CG10274
CG10298	FBgn0037432	CG10298
CG10369	FBgn0032706	Irk3
CG10280	FBgn0037395	CG10280
CG10307	FBgn0034655	CG10307
CG10354	FBgn0031868	Rat1
CG10371	FBgn0039111	PTPMT1
CG30152	FBgn0034543	galla-1
CG10541	FBgn0035638	Tektin-C
CG10384	FBgn0034731	CG10384
CG10477	FBgn0035661	CG10477
CG10462	FBgn0032815	CG10462
CG10498	FBgn0004107	Cdk2
CG10440	FBgn0034636	twz
CG10465	FBgn0033017	CG10465
CG10646	FBgn0036292	CG10646
CG10583	FBgn0035627	Sse
CG10698	FBgn0036278	CrzR
CG10681	FBgn0036291	CG10681
CG10682	FBgn0264848	vih
CG10572	FBgn0015618	Cdk8
CG10703	FBgn0037881	GCC88
CG10691	FBgn0002031	l(2)37Cc
CG10704	FBgn0036285	toe
CG10692	FBgn0028707	Mt2
CG10693	FBgn0003429	slo
CG31668	FBgn0051668	CG31668
CG10824	FBgn0038865	cDIP
CG10913	FBgn0028983	Spn55B
CG10959	FBgn0030010	CG10959
CG32264	FBgn0052264	CG32264
CG10772	FBgn0004509	Fur1
CG10778	FBgn0029980	Dhdds
CG11103	FBgn0030522	CG11103
CG11137	FBgn0037199	EMC4
CG3722	FBgn0003391	shg
CG11579	FBgn0000117	arm
CG17947	FBgn0010215	alpha-Cat
CG10984	FBgn0036305	CG10984
CG11139	FBgn0033179	p47
CG11154	FBgn0010217	ATPsynbeta
CG11110	FBgn0034535	CG11110
CG11069	FBgn0039244	CG11069
CG11095	FBgn0030528	CG11095
CG11098	FBgn0286898	Tango1
CG11050	FBgn0031836	CG11050
CG11132	FBgn0034537	DMAP1
CG11000	FBgn0263353	CG11000
CG33174	FBgn0261244	inaE
CG11134	FBgn0030518	CG11134
CG11149	FBgn0031732	CG11149
CG11180	FBgn0034528	CG11180
CG11245	FBgn0287828	Pkcdelta
CG11194	FBgn0027788	Hey
CG11295	FBgn0013548	l(2)dtl
CG10986	FBgn0001087	g
CG11399	FBgn0037021	Pcif1
CG11425	FBgn0037167	CG11425
CG11619	FBgn0036836	CG11619
CG11598	FBgn0038067	CG11598
CG11600	FBgn0038068	CG11600
CG11551	FBgn0025776	ind
CG11448	FBgn0024985	Rilpl
CG11526	FBgn0035437	Strip
CG11870	FBgn0262617	Nuak
CG11836	FBgn0039272	CG11836
CG11856	FBgn0039302	Nup358
CG11700	FBgn0029856	CG11700
CG11676	FBgn0267336	Glut4EF
CG11711	FBgn0259481	Mob2
CG11799	FBgn0036134	FoxK
CG11828	FBgn0039616	CG11828
CG30019	FBgn0033564	Pex6
CG30019	FBgn0061356	Hao
CG11967	FBgn0037646	CAHbeta
CG11990	FBgn0037657	hyx
CG11968	FBgn0037647	RagA-B
CG12015	FBgn0035155	RabX6
CG33233	FBgn0053233	CG33233
CG12066	FBgn0000274	Pka-C2
CG12038	FBgn0035179	CG12038
CG11999	FBgn0037312	CG11999
CG12019	FBgn0011573	Cdc37
CG12069	FBgn0039796	CG12069
CG11907	FBgn0031250	Ent1
CG31660	FBgn0051660	smog
CG12020	FBgn0035273	CG12020
CG12071	FBgn0039808	CG12071
CG11910	FBgn0039332	alrm
CG12004	FBgn0035236	CG12004
CG12007	FBgn0037293	RabGGTa
CG32171	FBgn0261565	Lmpt
CG12565	FBgn0259245	DIP-beta
CG12240	FBgn0260770	CG42568
CG12240	FBgn0260775	DnaJ-60
CG12190	FBgn0034763	RYBP
CG12225	FBgn0028982	Spt6
CG12194	FBgn0031636	CG12194
CG12108	FBgn0030057	Ppt1
CG12173	FBgn0037305	CG12173
CG12199	FBgn0031016	kek5
CG31022	FBgn0039776	PH4alphaEFB
CG12233	FBgn0027291	Idh3a
CG12202	FBgn0031020	Naa15-16
CG12237	FBgn0031048	CG12237
CG12093	FBgn0035372	CG12093
CG12348	FBgn0003380	Sh
CG12403	FBgn0265262	Vha68-1
CG12306	FBgn0003124	polo
CG10462	FBgn0032815	CG10462
CG10498	FBgn0004107	Cdk2
CG10440	FBgn0034636	twz
CG10465	FBgn0033017	CG10465
CG10646	FBgn0036292	CG10646
CG10583	FBgn0035627	Sse
CG10698	FBgn0036278	CrzR
CG10681	FBgn0036291	CG10681
CG10682	FBgn0264848	vih
CG10572	FBgn0015618	Cdk8
CG10703	FBgn0037881	GCC88
CG10691	FBgn0002031	l(2)37Cc
CG10704	FBgn0036285	toe
CG10692	FBgn0028707	Mt2
CG10693	FBgn0003429	slo
CG31668	FBgn0051668	CG31668
CG10824	FBgn0038865	cDIP
CG10913	FBgn0028983	Spn55B
CG10959	FBgn0030010	CG10959
CG32264	FBgn0052264	CG32264
CG10772	FBgn0004509	Fur1
CG10778	FBgn0029980	Dhdds
CG11103	FBgn0030522	CG11103
CG11137	FBgn0037199	EMC4
CG3722	FBgn0003391	shg
CG11579	FBgn0000117	arm
CG17947	FBgn0010215	alpha-Cat
CG10984	FBgn0036305	CG10984
CG11139	FBgn0033179	p47
CG11154	FBgn0010217	ATPsynbeta
CG11110	FBgn0034535	CG11110
CG11069	FBgn0039244	CG11069
CG11095	FBgn0030528	CG11095
CG11098	FBgn0286898	Tango1
CG11050	FBgn0031836	CG11050
CG11132	FBgn0034537	DMAP1
CG11000	FBgn0263353	CG11000
CG33174	FBgn0261244	inaE
CG11134	FBgn0030518	CG11134
CG11149	FBgn0031732	CG11149
CG11180	FBgn0034528	CG11180
CG11245	FBgn0287828	Pkcdelta
CG11194	FBgn0027788	Hey
CG11295	FBgn0013548	l(2)dtl
CG10986	FBgn0001087	g
CG11399	FBgn0037021	Pcif1
CG11425	FBgn0037167	CG11425
CG11619	FBgn0036836	CG11619
CG11598	FBgn0038067	CG11598
CG11600	FBgn0038068	CG11600
CG11551	FBgn0025776	ind
CG11448	FBgn0024985	Rilpl
CG11526	FBgn0035437	Strip
CG11870	FBgn0262617	Nuak
CG11836	FBgn0039272	CG11836
CG11856	FBgn0039302	Nup358
CG11700	FBgn0029856	CG11700
CG11676	FBgn0267336	Glut4EF
CG11711	FBgn0259481	Mob2
CG11799	FBgn0036134	FoxK
CG11828	FBgn0039616	CG11828
CG30019	FBgn0033564	Pex6
CG30019	FBgn0061356	Hao
CG11967	FBgn0037646	CAHbeta
CG11990	FBgn0037657	hyx
CG11968	FBgn0037647	RagA-B
CG12015	FBgn0035155	RabX6
CG33233	FBgn0053233	CG33233
CG12066	FBgn0000274	Pka-C2
CG12038	FBgn0035179	CG12038
CG11999	FBgn0037312	CG11999
CG12019	FBgn0011573	Cdc37
CG12069	FBgn0039796	CG12069
CG11907	FBgn0031250	Ent1
CG31660	FBgn0051660	smog
CG12020	FBgn0035273	CG12020
CG12071	FBgn0039808	CG12071
CG11910	FBgn0039332	alrm
CG12004	FBgn0035236	CG12004
CG12007	FBgn0037293	RabGGTa
CG32171	FBgn0261565	Lmpt
CG12565	FBgn0259245	DIP-beta
CG12240	FBgn0260770	CG42568
CG12240	FBgn0260775	DnaJ-60
CG12190	FBgn0034763	RYBP
CG12225	FBgn0028982	Spt6
CG12194	FBgn0031636	CG12194
CG12108	FBgn0030057	Ppt1
CG12173	FBgn0037305	CG12173
CG12199	FBgn0031016	kek5
CG31022	FBgn0039776	PH4alphaEFB
CG12233	FBgn0027291	Idh3a
CG12202	FBgn0031020	Naa15-16
CG12237	FBgn0031048	CG12237
CG12093	FBgn0035372	CG12093
CG12348	FBgn0003380	Sh
CG12403	FBgn0265262	Vha68-1
CG12306	FBgn0003124	polo
CG12361	FBgn0261723	Dbx
CG12284	FBgn0260635	Diap1
CG12338	FBgn0033543	Daao1
CG12690	FBgn0029504	CHES-1-like
CG12892	FBgn0033526	Caf1-105
CG12750	FBgn0086707	ncm
CG12785	FBgn0261286	Mat89Ba
CG33466	FBgn0259878	Fs
CG12717	FBgn0030420	pira
CG13189	FBgn0033665	Zip48C
CG13322	FBgn0033784	SCCRO3
CG13527	FBgn0034776	CG13527
CG13281	FBgn0022213	Cse1
CG13369	FBgn0025640	CG13369
CG13284	FBgn0032614	CG13284
CG13223	FBgn0033599	CG13223
CG13533	FBgn0034793	asrij
CG13240	FBgn0001989	ND-B17
CG14111	FBgn0036350	CG14111
CG13743	FBgn0033368	CG13743
CG13744	FBgn0033363	CG13744
CG17285	FBgn0000639	Fbp1
CG31106	FBgn0051106	CG31106
CG32479	FBgn0052479	Usp10
CG3722	FBgn0003391	shg
CG11579	FBgn0000117	arm
CG17947	FBgn0010215	alpha-Cat
CG31917	FBgn0031668	CG31917
CG31645	FBgn0085410	TrissinR
CG14015	FBgn0031716	CG14015
CG14026	FBgn0003716	tkv
CG14366	FBgn0085412	kmr
CG14480	FBgn0034242	CG14480
CG14214	FBgn0031049	Sec61gamma
CG14813	FBgn0028969	deltaCOP
CG14899	FBgn0038438	Der-2
CG14739	FBgn0037987	CG14739
CG14870	FBgn0038342	B9d1
CG14877	FBgn0038380	CG14877
CG14804	FBgn0014411	Vps26
CG14856	FBgn0038261	CG14856
CG14857	FBgn0038262	CG14857
CG15200	FBgn0030278	CG15200
CG33147	FBgn0053147	Hs3st-A
CG15319	FBgn0261617	nej
CG15365	FBgn0030077	CG15365
CG15890	FBgn0030576	CG15890
CG15441	FBgn0019982	Gs1l
CG32635	FBgn0265416	Neto
CG16902	FBgn0264562	Hr4
CG17090	FBgn0035142	Hipk
CG17054	FBgn0085468	ND-MWFE
CG17054	FBgn0259876	Cap-G
CG17440	FBgn0030120	CG17440
CG31723	FBgn0051723	CG31723
CG17293	FBgn0032030	Wdr82
CG17477	FBgn0038479	CG17477
CG17876	FBgn0000078	Amy-d
CG18180	FBgn0036024	CG18180
CG32105	FBgn0052105	Lmx1a
CG18389	FBgn0264490	Eip93F
CG18646	FBgn0265597	rad
CG18599	FBgn0038592	CG18599
CG33277	FBgn0259935	CG42458
CG18497	FBgn0016977	spen
CG3193	FBgn0000377	crn
CG3981	FBgn0040395	Unc-76
CG9539	FBgn0086357	Sec61alpha
CG11012	FBgn0026756	Ugt37A1
CG6699	FBgn0025724	beta'COP
CG5809	FBgn0025678	CaBP1
CG12396	FBgn0022069	Nnp-1
CG11198	FBgn0033246	ACC
CG30295	FBgn0050295	Ipk1
CG8171	FBgn0000996	dup
CG33458	FBgn0053458	CG33458
CG15081	FBgn0010551	Phb2
CG9406	FBgn0034592	CG9406
CG3215	FBgn0034825	Gpdh2
CG10079	FBgn0003731	Egfr
CG30185	FBgn0050185	AIMP3
CG1211	FBgn0053965	CG33965
CG1211	FBgn0053966	CG33966
CG8993	FBgn0035334	CG8993
CG34099	FBgn0083992	Mkp
CG14993	FBgn0016013	Faa
CG18315	FBgn0000109	Aprt
CG12012	FBgn0035444	CG12012
CG32412	FBgn0052412	QC
CG32343	FBgn0052343	Atac3
CG5690	FBgn0035295	Cnb
CG32335	FBgn0063667	meep
CG13920	FBgn0025712	CG13920
CG33061	FBgn0053061	CG33061
CG32201	FBgn0052201	CG32201
CG9697	FBgn0043577	PGRP-SB2
CG33054	FBgn0053054	CG33054
CG6658	FBgn0040251	Ugt302K1
CG12361	FBgn0261723	Dbx
CG12284	FBgn0260635	Diap1
CG12338	FBgn0033543	Daao1
CG12690	FBgn0029504	CHES-1-like
CG12892	FBgn0033526	Caf1-105
CG12750	FBgn0086707	ncm
CG12785	FBgn0261286	Mat89Ba
CG33466	FBgn0259878	Fs
CG12717	FBgn0030420	pira
CG13189	FBgn0033665	Zip48C
CG13322	FBgn0033784	SCCRO3
CG13527	FBgn0034776	CG13527
CG13281	FBgn0022213	Cse1
CG13369	FBgn0025640	CG13369
CG13284	FBgn0032614	CG13284
CG13223	FBgn0033599	CG13223
CG13533	FBgn0034793	asrij
CG13240	FBgn0001989	ND-B17
CG14111	FBgn0036350	CG14111
CG13743	FBgn0033368	CG13743
CG13744	FBgn0033363	CG13744
CG17285	FBgn0000639	Fbp1
CG31106	FBgn0051106	CG31106
CG32479	FBgn0052479	Usp10
CG3722	FBgn0003391	shg
CG11579	FBgn0000117	arm
CG17947	FBgn0010215	alpha-Cat
CG31917	FBgn0031668	CG31917
CG31645	FBgn0085410	TrissinR
CG14015	FBgn0031716	CG14015
CG14026	FBgn0003716	tkv
CG14366	FBgn0085412	kmr
CG14480	FBgn0034242	CG14480
CG14214	FBgn0031049	Sec61gamma
CG14813	FBgn0028969	deltaCOP
CG14899	FBgn0038438	Der-2
CG14739	FBgn0037987	CG14739
CG14870	FBgn0038342	B9d1
CG14877	FBgn0038380	CG14877
CG14804	FBgn0014411	Vps26
CG14856	FBgn0038261	CG14856
CG14857	FBgn0038262	CG14857
CG15200	FBgn0030278	CG15200
CG33147	FBgn0053147	Hs3st-A
CG15319	FBgn0261617	nej
CG15365	FBgn0030077	CG15365
CG15890	FBgn0030576	CG15890
CG15441	FBgn0019982	Gs1l
CG32635	FBgn0265416	Neto
CG16902	FBgn0264562	Hr4
CG17090	FBgn0035142	Hipk
CG17054	FBgn0085468	ND-MWFE
CG17054	FBgn0259876	Cap-G
CG17440	FBgn0030120	CG17440
CG31723	FBgn0051723	CG31723
CG17293	FBgn0032030	Wdr82
CG17477	FBgn0038479	CG17477
CG17876	FBgn0000078	Amy-d
CG18180	FBgn0036024	CG18180
CG32105	FBgn0052105	Lmx1a
CG18389	FBgn0264490	Eip93F
CG18646	FBgn0265597	rad
CG18599	FBgn0038592	CG18599
CG33277	FBgn0259935	CG42458
CG18497	FBgn0016977	spen
CG3193	FBgn0000377	crn
CG3981	FBgn0040395	Unc-76
CG9539	FBgn0086357	Sec61alpha
CG11012	FBgn0026756	Ugt37A1
CG6699	FBgn0025724	beta'COP
CG5809	FBgn0025678	CaBP1
CG12396	FBgn0022069	Nnp-1
CG11198	FBgn0033246	ACC
CG30295	FBgn0050295	Ipk1
CG8171	FBgn0000996	dup
CG33458	FBgn0053458	CG33458
CG15081	FBgn0010551	Phb2
CG9406	FBgn0034592	CG9406
CG3215	FBgn0034825	Gpdh2
CG10079	FBgn0003731	Egfr
CG30185	FBgn0050185	AIMP3
CG1211	FBgn0053965	CG33965
CG1211	FBgn0053966	CG33966
CG8993	FBgn0035334	CG8993
CG34099	FBgn0083992	Mkp
CG14993	FBgn0016013	Faa
CG18315	FBgn0000109	Aprt
CG12012	FBgn0035444	CG12012
CG32412	FBgn0052412	QC
CG32343	FBgn0052343	Atac3
CG5690	FBgn0035295	Cnb
CG32335	FBgn0063667	meep
CG13920	FBgn0025712	CG13920
CG33061	FBgn0053061	CG33061
CG32201	FBgn0052201	CG32201
CG9697	FBgn0043577	PGRP-SB2
CG33054	FBgn0053054	CG33054
CG6658	FBgn0040251	Ugt302K1
CG10050	FBgn0037492	Dtwd2
CG9363	FBgn0037697	GstZ2
CG1168	FBgn0041707	7B2
CG9839	FBgn0037633	CG9839
CG7000	FBgn0260004	Snmp1
CG6056	FBgn0043012	AP-2sigma
CG12632	FBgn0264954	fd3F
CG2934	FBgn0285910	VhaAC39-1
CG3740	FBgn0023530	CG3740
CG2968	FBgn0028342	ATPsyndelta
CG14226	FBgn0043903	dome
CG8198	FBgn0026666	MagR
CG4178	FBgn0002563	Lsp1beta
CG5139	FBgn0031323	CG5139
CG13949	FBgn0031288	CG13949
CG11555	FBgn0086856	CG11555
CG31962	FBgn0020376	Sr-CIII
CG11767	FBgn0026394	Or24a
CG18269	FBgn0031719	CG18269
CG10800	FBgn0017551	Rca1
CG14005	FBgn0031739	CG14005
CG9555	FBgn0032085	CG9555
CG4454	FBgn0032105	borr
CG13108	FBgn0032100	CG13108
CG3722	FBgn0003391	shg
CG11579	FBgn0000117	arm
CG17947	FBgn0010215	alpha-Cat
CG17116	FBgn0024740	Lip2
CG14068	FBgn0261871	dpr2
CG5739	FBgn0032190	CG5739
CG5739	FBgn0085188	CG34159
CG18789	FBgn0042127	CG18789
CG18787	FBgn0042125	CG18787
CG9305	FBgn0032512	Bdp1
CG33310	FBgn0053310	CG33310
CG31775	FBgn0028537	CG31775
CG31733	FBgn0011239	ms(2)35Ci
CG31824	FBgn0051824	CR31824
CG13081	FBgn0032804	CG13081
CG14398	FBgn0053508	ppk13
CG14398	FBgn0053509	CG33509
CG14398	FBgn0053510	CG33510
CG14398	FBgn0053511	CG33511
CG2611	FBgn0032871	CG2611
CG15237	FBgn0033104	CG15237
CG12165	FBgn0260991	Incenp
CG12836	FBgn0033140	CG12836
CG3183	FBgn0033081	geminin
CG30056	FBgn0050056	CG30056
CG16836	FBgn0040735	BomT2
CG5785	FBgn0003701	thr
CG13550	FBgn0034853	Ice1
CG13587	FBgn0035031	CG13587
CG3548	FBgn0035033	CG3548
CG3565	FBgn0035034	CG3565
CG3579	FBgn0259707	CG42361
CG3579	FBgn0259742	CG42360
CG4741	FBgn0035040	CG4741
CG13566	FBgn0034942	CG13566
CG3825	FBgn0034948	PPP1R15
CG30175	FBgn0053519	Unc-89
CG32475	FBgn0052475	mthl8
CG32284	FBgn0052284	CG32284
CG32246	FBgn0052246	CG32246
CG15020	FBgn0035543	CG15020
CG32418	FBgn0052418	vito
CG32415	FBgn0259167	CG42272
CG13685	FBgn0035816	CG13685
CG13288	FBgn0035648	CG13288
CG32046	FBgn0259163	CG42268
CG32039	FBgn0052039	Svip
CG4461	FBgn0035982	CG4461
CG6024	FBgn0036202	loaf
CG14135	FBgn0036193	CG14135
CG32102	FBgn0052102	CG32102
CG7554	FBgn0041160	comm2
CG13040	FBgn0036608	CG13040
CG13039	FBgn0036609	CG13039
CG13075	FBgn0036563	CG13075
CG7730	FBgn0036689	CG7730
CG4784	FBgn0036619	Cpr72Ec
CG32208	FBgn0052208	825-Oak
CG32225	FBgn0052225	CG32225
CG11451	FBgn0037025	Spc105R
CG33284	FBgn0053284	CG33284
CG33217	FBgn0053217	CG33217
CG11100	FBgn0037207	Mes2
CG10284	FBgn0260645	CG42537
CG10284	FBgn0260766	CG42564
CG14609	FBgn0037483	CG14609
CG1288	FBgn0250845	CG1288
CG17934	FBgn0004173	Mst84Db
CG1331	FBgn0004778	Ccp84Af
CG14605	FBgn0037486	CG14605
CG17946	FBgn0004172	Mst84Da
CG31513	FBgn0051513	CG31513
CG31544	FBgn0283627	CR46300
CG1176	FBgn0011282	Obp84a
CG10113	FBgn0037502	wa-cup
CG1943	FBgn0037468	CG1943
CG32467	FBgn0267337	rn
CG8374	FBgn0278604	dmt
CG10050	FBgn0037492	Dtwd2
CG9363	FBgn0037697	GstZ2
CG1168	FBgn0041707	7B2
CG9839	FBgn0037633	CG9839
CG7000	FBgn0260004	Snmp1
CG6056	FBgn0043012	AP-2sigma
CG12632	FBgn0264954	fd3F
CG2934	FBgn0285910	VhaAC39-1
CG3740	FBgn0023530	CG3740
CG2968	FBgn0028342	ATPsyndelta
CG14226	FBgn0043903	dome
CG8198	FBgn0026666	MagR
CG4178	FBgn0002563	Lsp1beta
CG5139	FBgn0031323	CG5139
CG13949	FBgn0031288	CG13949
CG11555	FBgn0086856	CG11555
CG31962	FBgn0020376	Sr-CIII
CG11767	FBgn0026394	Or24a
CG18269	FBgn0031719	CG18269
CG10800	FBgn0017551	Rca1
CG14005	FBgn0031739	CG14005
CG9555	FBgn0032085	CG9555
CG4454	FBgn0032105	borr
CG13108	FBgn0032100	CG13108
CG3722	FBgn0003391	shg
CG11579	FBgn0000117	arm
CG17947	FBgn0010215	alpha-Cat
CG17116	FBgn0024740	Lip2
CG14068	FBgn0261871	dpr2
CG5739	FBgn0032190	CG5739
CG5739	FBgn0085188	CG34159
CG18789	FBgn0042127	CG18789
CG18787	FBgn0042125	CG18787
CG9305	FBgn0032512	Bdp1
CG33310	FBgn0053310	CG33310
CG31775	FBgn0028537	CG31775
CG31733	FBgn0011239	ms(2)35Ci
CG31824	FBgn0051824	CR31824
CG13081	FBgn0032804	CG13081
CG14398	FBgn0053508	ppk13
CG14398	FBgn0053509	CG33509
CG14398	FBgn0053510	CG33510
CG14398	FBgn0053511	CG33511
CG2611	FBgn0032871	CG2611
CG15237	FBgn0033104	CG15237
CG12165	FBgn0260991	Incenp
CG12836	FBgn0033140	CG12836
CG3183	FBgn0033081	geminin
CG30056	FBgn0050056	CG30056
CG16836	FBgn0040735	BomT2
CG5785	FBgn0003701	thr
CG13550	FBgn0034853	Ice1
CG13587	FBgn0035031	CG13587
CG3548	FBgn0035033	CG3548
CG3565	FBgn0035034	CG3565
CG3579	FBgn0259707	CG42361
CG3579	FBgn0259742	CG42360
CG4741	FBgn0035040	CG4741
CG13566	FBgn0034942	CG13566
CG3825	FBgn0034948	PPP1R15
CG30175	FBgn0053519	Unc-89
CG32475	FBgn0052475	mthl8
CG32284	FBgn0052284	CG32284
CG32246	FBgn0052246	CG32246
CG15020	FBgn0035543	CG15020
CG32418	FBgn0052418	vito
CG32415	FBgn0259167	CG42272
CG13685	FBgn0035816	CG13685
