# submitted_item	validated_id	current_symbol
CG17735	FBgn0260794	ctrip
CG17737	FBgn0035423	eIF1
CG17739	FBgn0033710	CG17739
CG17740	FBgn0050046	CG30046
CG17740	FBgn0050203	CG30203
CG17743	FBgn0002521	pho
CG17746	FBgn0035425	CG17746
CG17751	FBgn0038717	CG17751
CG17752	FBgn0038718	CG17752
CG17754	FBgn0030114	CG17754
CG17756	FBgn0053098	CG33098
CG17756	FBgn0085431	Sol1
CG17758	FBgn0259150	OtopLc
CG17762	FBgn0030412	Tomosyn
CG17766	FBgn0023510	Rbcn-3B
CG17767	FBgn0027358	Tim9b
CG17768	FBgn0032240	CG17768
CG17769	FBgn0011273	Acam
CG17770	FBgn0039374	CG17770
CG17771	FBgn0015360	oxt
CG17772	FBgn0015360	oxt
CG17785	FBgn0039188	Golgin84
CG17789	FBgn0052984	CG32984
CG17789	FBgn0052985	CG32985
CG17791	FBgn0263396	sqd
CG17800	FBgn0033159	Dscam1
CG17801	FBgn0038550	CG17801
CG17802	FBgn0038549	Nnk
CG17803	FBgn0038547	CG17803
CG17806	FBgn0038548	CG17806
CG17807	FBgn0034748	CG17807
CG17818	FBgn0027872	rdgBbeta
CG17821	FBgn0034383	CG17821
CG17824	FBgn0264488	CG43896
CG17826	FBgn0036227	CG17826
CG17829	FBgn0025635	CG17829
CG17838	FBgn0038826	Syp
CG17839	FBgn0036454	CG17839
CG17840	FBgn0031611	FIG4
CG17841	FBgn0028480	CG17841
CG17843	FBgn0038919	Qsox2
CG17856	FBgn0039576	UQCR-14L
CG17865	FBgn0039948	CG17865
CG17870	FBgn0004907	14-3-3zeta
CG17875	FBgn0038034	Cyp9f3
CG17876	FBgn0000078	Amy-d
CG17880	FBgn0051481	pb
CG17883	FBgn0040005	CG17883
CG17888	FBgn0016694	Pdp1
CG17894	FBgn0262975	cnc
CG17896	FBgn0023537	CG17896
CG17903	FBgn0284248	Cyt-c-p
CG17904	FBgn0032597	CG17904
CG17905	FBgn0032598	ChLD3
CG17907	FBgn0000024	Ace
CG17912	FBgn0032600	BuGZ
CG17917	FBgn0037431	CG17917
CG17919	FBgn0037433	CG17919
CG17921	FBgn0010228	HmgZ
CG17922	FBgn0266346	CngB
CG17923	FBgn0267363	JYalpha
CG17925	FBgn0039967	CG17925
CG17927	FBgn0264695	Mhc
CG17938	FBgn0004797	mdy
CG17938	FBgn0051739	AspRS-m
CG17941	FBgn0284247	ds
CG17947	FBgn0010215	alpha-Cat
CG17950	FBgn0004362	HmgD
CG17951	FBgn0003358	Jon99Ci
CG17952	FBgn0034657	LBR
CG17958	FBgn0003512	Sry-delta
CG17960	FBgn0025836	RhoGAP1A
CG17964	FBgn0085432	pan
CG17970	FBgn0031694	Cyp4ac2
CG17975	FBgn0028562	sut2
CG17976	FBgn0028561	sut3
CG17986	FBgn0050491	CG30491
CG17986	FBgn0050495	CG30495
CG17988	FBgn0032536	Ance-3
CG17991	FBgn0039498	CG17991
CG17998	FBgn0261988	Gprk2
CG17999	FBgn0034552	CG17999
CG18003	FBgn0061356	Hao
CG18005	FBgn0037660	beag
CG18009	FBgn0261793	Trf2
CG18012	FBgn0038552	Alg1
CG18013	FBgn0261976	Psf2
CG18019	FBgn0053519	Unc-89
CG18020	FBgn0053519	Unc-89
CG18021	FBgn0053519	Unc-89
CG18022	FBgn0052103	SCaMC
CG18023	FBgn0004865	Eip78C
CG18024	FBgn0029123	SoxN
CG18026	FBgn0053653	Cadps
CG18028	FBgn0002566	lt
CG18031	FBgn0023550	FarO
CG18039	FBgn0028422	GluRIID
CG18040	FBgn0039705	Atg16
CG18041	FBgn0039710	dgt1
CG18042	FBgn0085470	lmgB
CG18042	FBgn0250903	lmgA
CG18048	FBgn0037435	CG18048
CG18069	FBgn0264607	CaMKII
CG18076	FBgn0013733	shot
CG18085	FBgn0003366	sev
CG18088	FBgn0032082	CG18088
CG18094	FBgn0032791	CG18094
CG18095	FBgn0028872	CG18095
CG18096	FBgn0041183	Tep1
CG18102	FBgn0003392	shi
CG18104	FBgn0023535	arg
CG18112	FBgn0039702	Vps16B
CG18117	FBgn0032993	CG18117
CG18125	FBgn0264253	Send2
CG18128	FBgn0034898	CG18128
CG18130	FBgn0030359	CG18130
CG18135	FBgn0036837	CG18135
CG18140	FBgn0250907	Cht10
CG18145	FBgn0032189	Ripalpha
CG18146	FBgn0028939	NimC2
CG18152	FBgn0012051	CalpA
CG18162	FBgn0260750	Mulk
CG18172	FBgn0027594	drpr
CG18173	FBgn0035265	PIG-Wb
CG18174	FBgn0028694	Rpn11
CG18176	FBgn0036038	defl
CG18177	FBgn0036039	Naa60
CG18179	FBgn0036023	CG18179
CG18180	FBgn0036024	CG18180
CG18188	FBgn0033659	Damm
CG18190	FBgn0034403	CG18190
CG18208	FBgn0038653	Octalpha2R
CG18211	FBgn0010357	betaTry
CG18214	FBgn0024277	trio
CG18217	FBgn0036646	CR18217
CG18218	FBgn0042178	Apl
CG18231	FBgn0036796	CG18231
CG18233	FBgn0036795	CG18233
CG18234	FBgn0265268	CG18234
CG18241	FBgn0032095	Toll-4
CG18242	FBgn0086906	sls
CG18243	FBgn0034085	Ptp52F
CG18247	FBgn0015295	Shark
CG18249	FBgn0037553	CG18249
CG18250	FBgn0034072	Dg
CG18255	FBgn0265045	Strn-Mlck
CG18257	FBgn0039986	CG18257
CG18258	FBgn0265267	CG18258
CG18262	FBgn0030012	CG18262
CG18267	FBgn0013531	MED20
CG18271	FBgn0037263	slx1
CG18281	FBgn0037003	CG18281
CG18282	FBgn0086558	Ubi-p5E
CG18284	FBgn0043825	CG18284
CG18290	FBgn0000046	Act87E
CG18291	FBgn0083963	Nlg3
CG18292	FBgn0030269	CDK2AP1
CG18301	FBgn0032265	CG18301
CG18302	FBgn0032266	CG18302
CG18304	FBgn0031869	CG18304
CG18314	FBgn0035538	DopEcR
CG18317	FBgn0031359	Rim2
CG18319	FBgn0000173	ben
CG18327	FBgn0033904	CG18327
CG18330	FBgn0035231	Pcyt2
CG18338	FBgn0050021	metro
CG18340	FBgn0031758	Ucp4B
CG18341	FBgn0029812	Prosbeta2R1
CG18347	FBgn0260743	GC1
CG18350	FBgn0264270	Sxl
CG18358	FBgn0030782	CG18358
CG18358	FBgn0085354	CG34325
CG18362	FBgn0032940	Mondo
CG18363	FBgn0036808	Dic4
CG18369	FBgn0033860	S-Lap5
CG18371	FBgn0033893	CG18371
CG18375	FBgn0034606	ASPP
CG18389	FBgn0264490	Eip93F
CG18402	FBgn0283499	InR
CG18405	FBgn0011259	Sema1a
CG18414	FBgn0004861	ph-p
CG18415	FBgn0052379	CG32379
CG18417	FBgn0035780	CG18417
CG18418	FBgn0035568	CG18418
CG18419	FBgn0032120	CG33298
CG18420	FBgn0028866	CG18420
CG18426	FBgn0021895	ytr
CG18427	FBgn0263048	Gpdh3
CG18435	FBgn0263995	cpo
CG18437	FBgn0039536	unc80
CG18441	FBgn0052062	Rbfox1
CG18444	FBgn0003863	alphaTry
CG18445	FBgn0033476	oys
CG18447	FBgn0050361	mtt
CG18455	FBgn0025360	Optix
CG18466	FBgn0010222	Nmdmc
CG18467	FBgn0034218	CG18467
CG18472	FBgn0039463	Spag1
CG18473	FBgn0037683	CG18473
CG18476	FBgn0037931	CG18476
CG18477	FBgn0028864	CG18477
CG18478	FBgn0028517	CG18478
CG18480	FBgn0028518	CG18480
CG18493	FBgn0038701	CG18493
CG18495	FBgn0263121	Prosalpha1
CG18497	FBgn0016977	spen
CG18507	FBgn0028527	CG18507
CG18516	FBgn0038350	AOX4
CG18519	FBgn0038348	AOX2
CG18522	FBgn0267408	AOX1
CG18525	FBgn0028984	Spn88Ea
CG18530	FBgn0042207	CG18530
CG18547	FBgn0037973	CG18547
CG18548	FBgn0042206	GstD10
CG18549	FBgn0038053	CG18549
CG18555	FBgn0264744	CG44002
CG18557	FBgn0031470	CG18557
CG18563	FBgn0032639	CG18563
CG18565	FBgn0052226	Pex23
CG18582	FBgn0025743	mbt
CG18584	FBgn0265003	koi
CG18585	FBgn0031929	CG18585
CG18586	FBgn0035642	CG18586
CG18589	FBgn0041182	Tep2
CG18593	FBgn0036237	viaf
CG18594	FBgn0038973	Pebp1
CG18599	FBgn0038592	CG18599
CG18609	FBgn0034382	CG18609
CG18610	FBgn0050122	CG30122
CG18614	FBgn0035975	PGRP-LA
CG18626	FBgn0032219	CG4995
CG18627	FBgn0028970	RabGGTb
CG18630	FBgn0263219	Dscam4
CG18633	FBgn0051121	CG31121
CG18636	FBgn0032551	CG18636
CG18641	FBgn0031426	CG18641
CG18642	FBgn0025109	Bem46
CG18646	FBgn0265597	rad
CG18656	FBgn0053278	CG33278
CG18656	FBgn0259935	CG42458
CG18657	FBgn0015773	NetA
CG18658	FBgn0034075	Asph
CG18661	FBgn0040964	CG18661
CG18670	FBgn0011785	BRWD3
CG18672	FBgn0040628	CAH16
CG18673	FBgn0040629	CAH5
CG18675	FBgn0040696	CG18675
CG18680	FBgn0043792	CG30427
CG18681	FBgn0010425	epsilonTry
CG18742	FBgn0029508	Tsp42Ea
CG18744	FBgn0042101	CG18744
CG18745	FBgn0042102	CG18745
CG18747	FBgn0042104	CG18747
CG18748	FBgn0042105	CG18748
CG18749	FBgn0042182	CG18749
CG18754	FBgn0042106	CG18754
CG18761	FBgn0265189	sud1
CG18764	FBgn0042205	CG18764
CG18783	FBgn0266445	CG45075
CG18783	FBgn0266450	Kr-h1
CG18784	FBgn0051634	Oatp26F
CG18788	FBgn0042126	CG18788
CG18799	FBgn0259170	alpha-Man-Ia
CG18808	FBgn0042131	CG18808
CG18810	FBgn0042133	CG18810
CG18814	FBgn0042137	CG18814
CG18815	FBgn0042138	Apt1
CG18830	FBgn0040339	MED22
CG18830	FBgn0040340	TRAM
CG18830	FBgn0052815	CG32815
CG18842	FBgn0000377	crn
CG18842	FBgn0023525	CG3191
CG18851	FBgn0040395	Unc-76
CG18853	FBgn0042173	CG18853
CG18856	FBgn0053502	CG33502
CG18856	FBgn0285970	CG32500
CG18857	FBgn0086906	sls
CG18861	FBgn0042178	Apl
CG18869	FBgn0042179	Ugt305A1
CG9488	FBgn0053531	Ddr
CG9490	FBgn0053531	Ddr
CG16947	FBgn0031816	Rchy1
CG9539	FBgn0086357	Sec61alpha
CG9542	FBgn0287695	KFase
CG9548	FBgn0031822	Phf5a
CG31637	FBgn0051637	CG31637
CG11015	FBgn0031830	COX5B
CG31911	FBgn0263916	Ent2
CG11329	FBgn0031848	Nse1
CG13773	FBgn0042092	Polr1F
CG9200	FBgn0031876	Atac1
CG3433	FBgn0021944	Coprox
CG31907	FBgn0051907	Mst27D
CG13784	FBgn0031897	CG13784
CG5958	FBgn0031913	CG5958
CG5973	FBgn0031914	CG5973
CG12789	FBgn0025697	santa-maria
CG15819	FBgn0260486	Ziz
CG7144	FBgn0286198	LKRSDH
CG18591	FBgn0261790	SmE
CG33121	FBgn0053121	Spn28Db
CG7429	FBgn0031979	CCDC53
CG7424	FBgn0031980	RpL36A
CG31605	FBgn0261822	Bsg
CG8673	FBgn0031986	CG8673
CG8086	FBgn0032010	CG8086
CG13397	FBgn0014417	CG13397
CG10595	FBgn0262029	d
CG32985	FBgn0052985	CG32985
CG18662	FBgn0040963	CG18662
CG13102	FBgn0032088	CG13102
CG31708	FBgn0051708	DIP-zeta
CG31609	FBgn0051609	CG31609
CG3766	FBgn0011232	scat
CG3858	FBgn0019809	gcm2
CG15828	FBgn0032136	Apoltp
CG18660	FBgn0028704	Nckx30C
CG4026	FBgn0032147	IP3K1
CG18854	FBgn0285991	hpRNA:CR18854
CG4128	FBgn0032151	nAChRalpha6
CG4537	FBgn0032153	CG4537
CG4539	FBgn0010520	Bka
CG5885	FBgn0025700	CG5885
CG31713	FBgn0287788	Datp
CG4619	FBgn0032166	CG4619
CG4747	FBgn0043456	Ndf
CG31874	FBgn0051874	Fum4
CG5708	FBgn0032196	CG5708
CG5686	FBgn0024248	chico
CG5680	FBgn0000229	bsk
CG31717	FBgn0051717	CG31717
CG18619	FBgn0032202	REPTOR-BP
CG4946	FBgn0259482	Mob3
CG18144	FBgn0032209	Hand
CG5603	FBgn0032210	CYLD
CG5034	FBgn0032223	GATAd
CG5029	FBgn0019932	SamDC
CG31715	FBgn0051715	CG31715
CG5367	FBgn0032228	CG5367
CG33304	FBgn0041723	rho-5
CG33303	FBgn0053303	CG33303
CG31716	FBgn0051716	Cnot4
CG31718	FBgn0051718	Ir31a
CG7400	FBgn0267828	Fatp1
CG6444	FBgn0032293	Dpy-30L1
CG12299	FBgn0032295	CG12299
CG4621	FBgn0032321	YL-1
CG6093	FBgn0000018	abo
CG6105	FBgn0010612	ATPsynG
CG12253	FBgn0026148	CG12253
CG16833	FBgn0026147	TTLL4A
CG6141	FBgn0015756	RpL9
CG6201	FBgn0032343	CG6201
CG4779	FBgn0040211	hgo
CG33114	FBgn0010197	Gyc32E
CG4807	FBgn0264442	ab
CG4851	FBgn0032358	Ppt2
CG31705	FBgn0028490	CG31705
CG12314	FBgn0261266	zuc
CG31865	FBgn0051865	Ada1-1
CG5304	FBgn0010497	dmGlut
CG14945	FBgn0032402	PLCXD
CG12317	FBgn0028425	JhI-21
CG5325	FBgn0032407	Pex19
CG6618	FBgn0029137	Patsas
CG5353	FBgn0027081	ThrRS
CG31760	FBgn0051760	CG31760
CG31762	FBgn0000114	bru1
CG31759	FBgn0051759	CG31759
CG31761	FBgn0262475	bru2
CG6405	FBgn0032428	Fam92
CG5781	FBgn0032448	CG5781
CG5792	FBgn0032455	Pih1D1
CG3762	FBgn0263598	Vha68-2
CG12404	FBgn0032465	Yip1d1
CG5092	FBgn0021796	Tor
CG5204	FBgn0032473	kmg
CG31849	FBgn0051849	Mgat3
CG5458	FBgn0032478	Rsph1
CG5547	FBgn0032482	Pect
CG31851	FBgn0051851	Naa20B
CG31730	FBgn0051730	CG31730
CG9414	FBgn0028406	Drep4
CG12396	FBgn0022069	Nnp-1
CG6523	FBgn0032509	CG6523
CG31855	FBgn0051855	CG31855
CG6699	FBgn0025724	beta'COP
CG31814	FBgn0051814	DIP-kappa
CG16863	FBgn0028931	CG16863
CG31766	FBgn0032536	Ance-3
CG33119	FBgn0027929	NimB1
CG31839	FBgn0028543	NimB2
CG16873	FBgn0028936	NimB5
CG16880	FBgn0001967	NimC3
CG32971	FBgn0052971	CG32971
CG31835	FBgn0051835	CG31835
CG10846	FBgn0040228	DCTN5-p25
CG31832	FBgn0051832	CG31832
CG15266	FBgn0259982	Uxt
CG15261	FBgn0086691	UK114
CG18801	FBgn0041627	Ku80
CG18109	FBgn0028901	CG18109
CG31823	FBgn0051823	CG31823
CG10839	FBgn0028858	CG10839
CG4993	FBgn0024734	PRL-1
CG4132	FBgn0040079	pkaap
CG5809	FBgn0025678	CaBP1
CG4580	FBgn0032585	Nepl8
CG31782	FBgn0263744	CR43669
CG31782	FBgn0263745	CR43670
CG31782	FBgn0263746	CR43671
CG31812	FBgn0051812	Tsen2
CG17996	FBgn0032595	CG17996
CG13270	FBgn0040262	Ugt37C2
CG13271	FBgn0040261	Ugt37E1
CG17932	FBgn0040260	Ugt37D1
CG31810	FBgn0051810	CG31810
CG31809	FBgn0051809	CG31809
CG6115	FBgn0040985	CG6115
CG15134	FBgn0261671	tweek
CG6840	FBgn0032634	Polr2J
CG31803	FBgn0051803	Rsph9
CG6549	FBgn0024689	fws
CG5131	FBgn0032644	CG5131
CG15145	FBgn0032649	CG15145
CG31742	FBgn0051742	Prosbeta5R2
CG31741	FBgn0051741	CG31741
CG15154	FBgn0041184	Socs36E
CG31746	FBgn0261804	CG42750
CG31787	FBgn0051787	CG31787
CG10302	FBgn0284256	bsf
CG31790	FBgn0263079	CG43338
CG31751	FBgn0086909	CG31751
CG10385	FBgn0005617	msl-1
CG10338	FBgn0032700	CG10338
CG10341	FBgn0032701	CG10341
CG17324	FBgn0027074	Ugt36F1
CG17322	FBgn0027070	Ugt36E1
CG18397	FBgn0032723	ssp3
CG10428	FBgn0032724	CG10428
CG10679	FBgn0032725	Nedd8
CG15168	FBgn0032732	EMC5
CG31792	FBgn0051792	CG31792
CG10652	FBgn0086710	RpL30
CG15171	FBgn0028569	robl37BC
CG10655	FBgn0002021	l(2)37Bb
CG10492	FBgn0032748	CG10492
CG10685	FBgn0086447	Polr1D
CG10750	FBgn0032769	CG10750
CG31794	FBgn0041789	Pax
CG10026	FBgn0032785	CG10026
CG10195	FBgn0032787	CG10195
CG10123	FBgn0040268	Top3alpha
CG13079	FBgn0264845	Tep5Psi
CG31695	FBgn0005590	scw
CG13969	FBgn0045064	bwa
CG10747	FBgn0032845	CG10747
CG10723	FBgn0032850	Kua
CG11012	FBgn0026756	Ugt37A1
CG31683	FBgn0051683	CG31683
CG9324	FBgn0032884	Pomp
CG31673	FBgn0051673	CG31673
CG9264	FBgn0032911	tadr
CG9250	FBgn0032921	Mpp6
CG14396	FBgn0011829	Ret
CG31988	FBgn0051988	CG31988
CG8681	FBgn0026255	clumsy
CG8679	FBgn0032934	CG8679
CG8677	FBgn0026577	CG8677
CG31623	FBgn0023090	dtr
CG8663	FBgn0032946	nrv3
CG31616	unknown ID	-
CG31615	unknown ID	-
CG31754	unknown ID	-
CG31614	unknown ID	-
CG11628	FBgn0086779	step
CG31693	FBgn0051693	CG31693
CG31703	FBgn0051703	tplus3b
CG10834	FBgn0032972	CG10834
CG15218	FBgn0025674	CycK
CG17018	FBgn0039972	Marf1
CG10395	FBgn0033019	CG10395
CG33347	unknown ID	-
CG32838	FBgn0286203	stw
CG30440	FBgn0050440	CG30440
CG30438	FBgn0050438	Ugt50B3
CG17508	FBgn0039970	CG17508
CG11665	FBgn0033028	hrm
CG17337	FBgn0287767	Cndp2
CG11163	FBgn0025693	ZnT41F
CG8325	FBgn0021847	Ttc7
CG9403	FBgn0086655	jing
CG33134	FBgn0029131	Debcl
CG30443	FBgn0050443	Opbp
CG9422	FBgn0033092	Rpp25
CG30446	FBgn0050446	Tdc2
CG3450	FBgn0022224	ubl
CG9453	FBgn0265137	Spn42Da
CG30158	FBgn0050158	CG30158
CG30157	FBgn0050157	CG30157
CG30156	FBgn0050156	CG30156
CG12837	FBgn0033139	Tsp42Er
CG12172	FBgn0024294	Spn43Aa
CG1865	FBgn0024293	Spn43Ab
CG1857	FBgn0002930	nec
CG30501	FBgn0050501	CG30501
CG1707	FBgn0283450	Glo1
CG11123	FBgn0033169	CG11123
CG11125	FBgn0033174	CG11125
CG1624	FBgn0259745	wech
CG1624	FBgn0264294	Cyt-b5
CG2140	FBgn0264294	Cyt-b5
CG30499	FBgn0050499	Rpe
CG30491	FBgn0050491	CG30491
CG2065	FBgn0033204	CG2065
CG30493	FBgn0050493	Coq9
CG30496	FBgn0050496	CG30496
CG11217	FBgn0015614	CanB2
CG1925	FBgn0002891	PolZ1
CG12821	FBgn0040780	Atg10
CG18654	FBgn0085390	Dgk
CG30379	FBgn0050379	CG30379
CG30378	FBgn0050378	CG30378
CG2916	FBgn0026361	Septin5
CG8726	FBgn0033244	CG8726
CG11198	FBgn0033246	ACC
CG8719	FBgn0013308	Odc2
CG12770	FBgn0021814	Vps28
CG30372	FBgn0050372	Asap
CG11546	FBgn0010504	kermit
CG30374	FBgn0050374	CR30374
CG2173	FBgn0021995	Rs1
CG14757	FBgn0033274	CG14757
CG30370	unknown ID	-
CG30371	FBgn0050371	CG30371
CG11641	FBgn0261588	pdm3
CG2038	FBgn0028836	CSN7
CG2110	FBgn0033292	Cyp4ad1
CG30359	FBgn0050359	Mal-A5
CG14753	FBgn0033303	Cyp6a15Psi
CG8643	FBgn0267792	rgr
CG8732	FBgn0263120	Acsl
CG30354	FBgn0050354	UQCR-11L
CG14746	FBgn0043576	PGRP-SC1a
CG14745	FBgn0043575	PGRP-SC2
CG33141	FBgn0024189	sns
CG8269	FBgn0021825	DCTN2-p50
CG30349	FBgn0050349	CG30349
CG11824	FBgn0265011	Np
CG8083	FBgn0025709	CNT2
CG8068	FBgn0003612	Su(var)2-10
CG18659	FBgn0027561	CG18659
CG30344	FBgn0050344	CG30344
CG30345	FBgn0050345	CG30345
CG8014	FBgn0015477	Rme-8
CG13951	FBgn0016970	l(2)k10201
CG8805	FBgn0041087	wun2
CG30336	FBgn0259246	brp
CG1874	FBgn0085436	Not1
CG1821	FBgn0285949	RpL31
CG1902	FBgn0033434	CG1902
CG30338	FBgn0050338	CG30338
CG30340	FBgn0050340	CG30340
CG30000	FBgn0050000	GstT1
CG8094	FBgn0001187	Hex-C
CG30078	FBgn0265194	Trpm
CG8171	FBgn0000996	dup
CG8174	FBgn0286813	SRPK
CG8179	FBgn0263980	Stacl
CG8186	FBgn0022097	Vha36-1
CG8205	FBgn0023441	fus
CG30091	FBgn0050091	CG30091
CG30082	FBgn0050082	CG30082
CG30090	FBgn0050090	CG30090
CG30088	FBgn0050088	CG30088
CG30087	FBgn0050087	CG30087
CG33461	FBgn0053461	CG33461
CG33462	FBgn0053462	CG33462
CG30083	FBgn0050083	CG30083
CG8253	FBgn0034046	tun
CG30085	FBgn0050085	Rif1
CG30093	FBgn0050093	COX6AL
CG8386	FBgn0034061	Ufc1
CG8392	FBgn0010590	Prosbeta1
CG8414	FBgn0034073	CG8414
CG8428	FBgn0086676	spin
CG30094	FBgn0050094	CG30094
CG8448	FBgn0034091	mrj
CG15706	FBgn0034093	CG15706
CG15701	FBgn0034095	CG15701
CG33017	FBgn0053017	CG33017
CG30100	FBgn0050100	CG30100
CG4311	FBgn0010611	Hmgs
CG33458	FBgn0053458	CG33458
CG33459	FBgn0053459	CG33459
CG8332	FBgn0034138	RpS15
CG5072	FBgn0016131	Cdk4
CG8652	FBgn0026754	Ugt37C1
CG5935	FBgn0026533	Dek
CG6341	FBgn0028737	eEF1beta
CG8946	FBgn0010591	Sply
CG18730	FBgn0000079	Amy-p
CG14477	FBgn0265487	mbl
CG10939	FBgn0010620	CG10939
CG14478	FBgn0028953	CG14478
CG30104	FBgn0050104	NT5E-2
CG33130	FBgn0263197	Patronin
CG18631	FBgn0263113	Cc2d2a
CG6477	FBgn0034249	RhoGAP54D
CG18186	FBgn0034255	Oxp
CG30106	FBgn0050106	CCHa1-R
CG30108	FBgn0050108	CG30108
CG30109	FBgn0050109	CG30109
CG6410	FBgn0034265	Snx16
CG5765	FBgn0034294	Muc55B
CG17680	FBgn0062440	EMRE
CG33198	FBgn0053198	pen-2
CG5580	FBgn0285917	sbb
CG17533	FBgn0063492	GstE8
CG17534	FBgn0063491	GstE9
CG5186	FBgn0261477	slim
CG5189	FBgn0034350	Lamtor2
CG17669	FBgn0034352	CG17669
CG5327	FBgn0034363	CG5327
CG5473	FBgn0034371	Ntan1
CG15088	FBgn0034381	List
CG33146	FBgn0034389	Mctp
CG15093	FBgn0034390	CG15093
CG15095	FBgn0010651	MFS14
CG15081	FBgn0010551	Phb2
CG15097	FBgn0034396	CG15097
CG15100	FBgn0034401	MetRS
CG15101	FBgn0010053	Jheh1
CG30329	FBgn0028669	Vha100-3
CG15111	FBgn0034419	CG15111
CG7726	FBgn0013325	RpL11
CG7735	FBgn0034446	Arl6
CG9291	FBgn0266711	EloC
CG15120	FBgn0034454	CG15120
CG9854	FBgn0015949	hrg
CG11041	FBgn0034481	CG11041
CG9204	FBgn0025720	Ate1
CG11788	FBgn0034495	CG11788
CG33041	FBgn0086604	side-VIII
CG13426	FBgn0034510	CG13426
CG33008	FBgn0034518	CG13430
CG33008	FBgn0034519	BORCS7
CG16742	FBgn0034529	FAM21
CG30295	FBgn0050295	Ipk1
CG9236	FBgn0034558	Cib2
CG10036	FBgn0015524	otp
CG10052	FBgn0020617	Rx
CG9344	FBgn0034564	CG9344
CG15651	FBgn0034567	CG15651
CG33133	FBgn0001133	grau
CG9353	FBgn0034579	mRpL54
CG30293	FBgn0050293	Cht12
CG3986	FBgn0022700	Cht4
CG9364	FBgn0003748	Treh
CG9406	FBgn0034592	CG9406
CG9415	FBgn0021872	Xbp1
CG9418	FBgn0026582	Hmg-2
CG4279	FBgn0261067	LSm1
CG9450	FBgn0003891	tud
CG15658	FBgn0034602	Lapsyn
CG4302	FBgn0027073	Ugt49B1
CG15664	FBgn0085426	Rgk3
CG30392	FBgn0050392	CG30392
CG10071	FBgn0016726	RpL29
CG30394	FBgn0050394	CG30394
CG9696	FBgn0020306	dom
CG15671	FBgn0000395	cv-2
CG15669	FBgn0043070	MESK2
CG30288	FBgn0050288	CG30288
CG30289	FBgn0050289	CG30289
CG30287	FBgn0050287	CG30287
CG30283	FBgn0260477	CG30283
CG33225	FBgn0053225	CG33225
CG9858	FBgn0000326	clt
CG30284	FBgn0050284	CG30284
CG10320	FBgn0034645	ND-B12
CG30263	FBgn0050263	stum
CG30290	FBgn0050290	Ppcdc
CG30398	FBgn0050398	CG30398
CG30327	FBgn0265184	CG44249
CG30327	FBgn0265192	Snp
CG13502	FBgn0034692	CG13502
CG30281	FBgn0050281	CG30281
CG11275	FBgn0034706	CG11275
CG32885	FBgn0016053	pgc
CG11301	FBgn0034726	PolE4
CG10972	FBgn0034730	ppk12
CG4046	FBgn0034743	RpS16
CG4207	FBgn0026261	bonsai
CG4414	FBgn0040091	Ugt317A1
CG2852	FBgn0034753	CG2852
CG13510	FBgn0034758	CG13510
CG9952	FBgn0020257	Ppa
CG30259	FBgn0050259	CG30259
CG30268	FBgn0050268	CG30268
CG3536	FBgn0259145	CG42260
CG30267	FBgn0050267	asRNA:CR30267
CG30266	FBgn0259179	CG42284
CG30264	FBgn0259179	CG42284
CG30265	FBgn0050265	CG30265
CG3661	FBgn0010078	RpL23
CG3820	FBgn0010660	Nup214
CG30193	FBgn0261564	ReepA
CG32833	FBgn0052833	CG32833
CG9873	FBgn0034822	RpL37b
CG3215	FBgn0034825	Gpdh2
CG11079	FBgn0085452	CG34423
CG11079	FBgn0085453	Mthfs
CG3496	FBgn0003977	vir
CG3520	FBgn0034859	CG3520
CG5357	FBgn0264339	CG43795
CG18679	FBgn0264339	CG43795
CG18678	FBgn0264339	CG43795
CG30185	FBgn0050185	AIMP3
CG5403	FBgn0004795	retn
CG5472	FBgn0262728	Pal2
CG4091	FBgn0034894	sigmar
CG17611	FBgn0034915	eIF6
CG30176	FBgn0034918	Pym
CG11182	FBgn0025334	PHDP
CG11184	FBgn0034923	Upf3
CG5594	FBgn0261794	kcc
CG2827	FBgn0023477	Taldo
CG3029	FBgn0003008	or
CG3832	FBgn0283509	Phm
CG30178	FBgn0050178	CG30178
CG3860	FBgn0034951	CG3860
CG11388	FBgn0034959	Xxylt
CG13567	FBgn0034963	Not11
CG3186	FBgn0285952	eEF5
CG3195	FBgn0034968	RpL12
CG4005	FBgn0034970	yki
CG33149	FBgn0259209	Mlp60A
CG30174	FBgn0259209	Mlp60A
CG3253	FBgn0041706	CG3253
CG16837	FBgn0035009	CG16837
CG4681	FBgn0069913	CG4681
CG3570	FBgn0035035	Samtor
CG13588	FBgn0259707	CG42361
CG13588	FBgn0259742	CG42360
CG3683	FBgn0035046	ND-19
CG3880	FBgn0035057	CG3880
CG3894	FBgn0035059	CG3894
CG30426	FBgn0086908	egg
CG16896	FBgn0035073	CG16896
CG9071	FBgn0085434	NaCP60E
CG2811	FBgn0035082	CG2811
CG2803	FBgn0035083	Tina-1
CG3776	FBgn0035088	CG3776
CG30429	FBgn0050429	CG30429
CG6845	FBgn0035099	CG6845
CG13875	FBgn0035104	CG13875
CG7042	FBgn0083976	CG34140
CG7042	FBgn0083992	Mkp
CG18374	FBgn0025592	Gk1
CG13876	FBgn0035109	CG13876
CG32845	FBgn0052845	CG32845
CG7004	FBgn0004373	fwd
CG32343	FBgn0052343	Atac3
CG1231	FBgn0035134	CG1231
CG3402	FBgn0035148	CG3402
CG32483	FBgn0052483	CG32483
